After iteration 0:
Gaussian 9: mean = 5016.9333, variance = 8131717.0642, prior = 0.1111

After iteration 20:
Gaussian 1: mean = 4888.4282, variance = 8103438.8677, prior = 0.1121
Gaussian 2: mean = 4446.3687, variance = 7760125.3539, prior = 0.1112
Gaussian 3: mean = 5339.2478, variance = 8057598.3263, prior = 0.1110
Gaussian 4: mean = 4635.5237, variance = 7952739.1421, prior = 0.1110
Gaussian 5: mean = 5268.7009, variance = 8091425.1662, prior = 0.1112
Gaussian 6: mean = 4844.5736, variance = 8086287.5785, prior = 0.1109
Gaussian 7: mean = 4951.0262, variance = 8121305.9485, prior = 0.1110
Gaussian 8: mean = 5152.4448, variance = 8125713.1310, prior = 0.1103
Gaussian 9: mean = 5018.4371, variance = 8131809.8824, prior = 0.1111

After iteration 21:
Gaussian 1: mean = 4889.7305, variance = 8103841.4018, prior = 0.1121
Gaussian 2: mean = 4437.0104, variance = 7748828.5767, prior = 0.1113
Gaussian 3: mean = 5341.7987, variance = 8056152.1160, prior = 0.1110
Gaussian 4: mean = 4633.3726, variance = 7950873.9039, prior = 0.1110
Gaussian 5: mean = 5270.6694, variance = 8090572.5616, prior = 0.1112
Gaussian 6: mean = 4845.6304, variance = 8086696.3129, prior = 0.1109
Gaussian 7: mean = 4952.5181, variance = 8121589.1814, prior = 0.1110
Gaussian 8: mean = 5154.0377, variance = 8125381.4033, prior = 0.1103
Gaussian 9: mean = 5019.9932, variance = 8131899.0283, prior = 0.1111

After iteration 22:
Gaussian 1: mean = 4891.0939, variance = 8104257.2421, prior = 0.1121
Gaussian 2: mean = 4427.2132, variance = 7736830.1418, prior = 0.1113
Gaussian 3: mean = 5344.4320, variance = 8054643.5152, prior = 0.1110
Gaussian 4: mean = 4631.2201, variance = 7948994.1313, prior = 0.1110
Gaussian 5: mean = 5272.7049, variance = 8089680.6056, prior = 0.1112
Gaussian 6: mean = 4846.7495, variance = 8087125.4124, prior = 0.1109
Gaussian 7: mean = 4954.0681, variance = 8121876.4568, prior = 0.1110
Gaussian 8: mean = 5155.6877, variance = 8125030.0911, prior = 0.1103
Gaussian 9: mean = 5021.6051, variance = 8131983.8765, prior = 0.1111

After iteration 23:
Gaussian 1: mean = 4892.5226, variance = 8104686.8261, prior = 0.1121
Gaussian 2: mean = 4416.9430, variance = 7724064.0400, prior = 0.1113
Gaussian 3: mean = 5347.1531, variance = 8053067.7045, prior = 0.1110
Gaussian 4: mean = 4629.0697, variance = 7947102.1856, prior = 0.1110
Gaussian 5: mean = 5274.8119, variance = 8088746.0253, prior = 0.1112
Gaussian 6: mean = 4847.9356, variance = 8087575.8463, prior = 0.1109
Gaussian 7: mean = 4955.6804, variance = 8122167.6040, prior = 0.1110
Gaussian 8: mean = 5157.3992, variance = 8124657.3435, prior = 0.1103
Gaussian 9: mean = 5023.2771, variance = 8132063.6993, prior = 0.1111

After iteration 24:
Gaussian 1: mean = 4894.0213, variance = 8105130.5889, prior = 0.1120
Gaussian 2: mean = 4406.1616, variance = 7710455.8715, prior = 0.1113
Gaussian 3: mean = 5349.9680, variance = 8051419.3119, prior = 0.1110
Gaussian 4: mean = 4626.9253, variance = 7945200.8490, prior = 0.1110
Gaussian 5: mean = 5276.9958, variance = 8087765.1475, prior = 0.1112
Gaussian 6: mean = 4849.1935, variance = 8088048.6294, prior = 0.1109
Gaussian 7: mean = 4957.3595, variance = 8122462.3898, prior = 0.1110
Gaussian 8: mean = 5159.1768, variance = 8124261.0545, prior = 0.1103
Gaussian 9: mean = 5025.0137, variance = 8132137.6455, prior = 0.1111

After iteration 25:
Gaussian 1: mean = 4895.5954, variance = 8105588.9549, prior = 0.1120
Gaussian 2: mean = 4394.8267, variance = 7695921.4912, prior = 0.1113
Gaussian 3: mean = 5352.8834, variance = 8049692.3260, prior = 0.1110
Gaussian 4: mean = 4624.7916, variance = 7943293.3892, prior = 0.1110
Gaussian 5: mean = 5279.2622, variance = 8086733.8340, prior = 0.1112
Gaussian 6: mean = 4850.5287, variance = 8088544.8220, prior = 0.1109
Gaussian 7: mean = 4959.1107, variance = 8122760.5007, prior = 0.1110
Gaussian 8: mean = 5161.0257, variance = 8123838.8222, prior = 0.1103
Gaussian 9: mean = 5026.8199, variance = 8132204.7140, prior = 0.1111

After iteration 26:
Gaussian 1: mean = 4897.2508, variance = 8106062.3273, prior = 0.1120
Gaussian 2: mean = 4382.8911, variance = 7680365.3871, prior = 0.1113
Gaussian 3: mean = 5355.9067, variance = 8047879.9912, prior = 0.1110
Gaussian 4: mean = 4622.6737, variance = 7941383.6340, prior = 0.1110
Gaussian 5: mean = 5281.6177, variance = 8085647.4023, prior = 0.1112
Gaussian 6: mean = 4851.9473, variance = 8089065.5281, prior = 0.1109
Gaussian 7: mean = 4960.9396, variance = 8123061.5216, prior = 0.1110
Gaussian 8: mean = 5162.9518, variance = 8123387.8975, prior = 0.1103
Gaussian 9: mean = 5028.7015, variance = 8132263.7227, prior = 0.1111

After iteration 27:
Gaussian 1: mean = 4898.9940, variance = 8106551.0728, prior = 0.1120
Gaussian 2: mean = 4370.3017, variance = 7663678.7299, prior = 0.1113
Gaussian 3: mean = 5359.0461, variance = 8045974.6843, prior = 0.1111
Gaussian 4: mean = 4620.5778, variance = 7939476.0580, prior = 0.1110
Gaussian 5: mean = 5284.0694, variance = 8084500.5312, prior = 0.1112
Gaussian 6: mean = 4853.4562, variance = 8089611.8902, prior = 0.1109
Gaussian 7: mean = 4962.8526, variance = 8123364.9093, prior = 0.1110
Gaussian 8: mean = 5164.9617, variance = 8122905.1185, prior = 0.1103
Gaussian 9: mean = 5030.6648, variance = 8132313.2692, prior = 0.1111

After iteration 28:
Gaussian 1: mean = 4900.8325, variance = 8107055.5026, prior = 0.1120
Gaussian 2: mean = 4356.9990, variance = 7645737.0143, prior = 0.1114
Gaussian 3: mean = 5362.3108, variance = 8043967.7631, prior = 0.1111
Gaussian 4: mean = 4618.5110, variance = 7937575.8833, prior = 0.1110
Gaussian 5: mean = 5286.6255, variance = 8083287.1442, prior = 0.1113
Gaussian 6: mean = 4855.0629, variance = 8090185.0817, prior = 0.1109
Gaussian 7: mean = 4964.8571, variance = 8123669.9574, prior = 0.1110
Gaussian 8: mean = 5167.0627, variance = 8122386.8320, prior = 0.1103
Gaussian 9: mean = 5032.7169, variance = 8132351.6812, prior = 0.1111

After iteration 29:
Gaussian 1: mean = 4902.7746, variance = 8107575.8455, prior = 0.1120
Gaussian 2: mean = 4342.9157, variance = 7626397.1897, prior = 0.1114
Gaussian 3: mean = 5365.7110, variance = 8041849.3834, prior = 0.1111
Gaussian 4: mean = 4616.4816, variance = 7935689.1969, prior = 0.1110
Gaussian 5: mean = 5289.2949, variance = 8082000.2677, prior = 0.1113
Gaussian 6: mean = 4856.7760, variance = 8090786.2931, prior = 0.1109
Gaussian 7: mean = 4966.9610, variance = 8123975.7530, prior = 0.1110
Gaussian 8: mean = 5169.2631, variance = 8121828.7930, prior = 0.1103
Gaussian 9: mean = 5034.8660, variance = 8132376.9553, prior = 0.1111

After iteration 30:
Gaussian 1: mean = 4904.8298, variance = 8108112.2112, prior = 0.1120
Gaussian 2: mean = 4327.9755, variance = 7605494.1501, prior = 0.1114
Gaussian 3: mean = 5369.2584, variance = 8039608.2735, prior = 0.1111
Gaussian 4: mean = 4614.4989, variance = 7933823.0877, prior = 0.1110
Gaussian 5: mean = 5292.0881, variance = 8080631.8548, prior = 0.1113
Gaussian 6: mean = 4858.6053, variance = 8091416.7129, prior = 0.1109
Gaussian 7: mean = 4969.1738, variance = 8124281.1183, prior = 0.1110
Gaussian 8: mean = 5171.5724, variance = 8121226.0419, prior = 0.1103
Gaussian 9: mean = 5037.1213, variance = 8132386.6770, prior = 0.1111

After iteration 31:
Gaussian 1: mean = 4907.0088, variance = 8108664.5413, prior = 0.1120
Gaussian 2: mean = 4312.0916, variance = 7582836.4125, prior = 0.1114
Gaussian 3: mean = 5372.9660, variance = 8037231.4554, prior = 0.1111
Gaussian 4: mean = 4612.5743, variance = 7931985.8062, prior = 0.1110
Gaussian 5: mean = 5295.0166, variance = 8079172.5662, prior = 0.1113
Gaussian 6: mean = 4860.5619, variance = 8092077.4975, prior = 0.1109
Gaussian 7: mean = 4971.5059, variance = 8124584.5358, prior = 0.1110
Gaussian 8: mean = 5174.0014, variance = 8120572.7472, prior = 0.1103
Gaussian 9: mean = 5039.4932, variance = 8132377.9200, prior = 0.1111

After iteration 32:
Gaussian 1: mean = 4909.3240, variance = 8109232.5410, prior = 0.1120
Gaussian 2: mean = 4295.1649, variance = 7558200.7608, prior = 0.1114
Gaussian 3: mean = 5376.8489, variance = 8034703.8968, prior = 0.1111
Gaussian 4: mean = 4610.7205, variance = 7930186.9519, prior = 0.1110
Gaussian 5: mean = 5298.0939, variance = 8077611.4948, prior = 0.1113
Gaussian 6: mean = 4862.6583, variance = 8092769.7282, prior = 0.1109
Gaussian 7: mean = 4973.9695, variance = 8124884.0491, prior = 0.1110
Gaussian 8: mean = 5176.5624, variance = 8119862.0082, prior = 0.1103
Gaussian 9: mean = 5041.9939, variance = 8132347.1141, prior = 0.1111

After iteration 33:
Gaussian 1: mean = 4911.7895, variance = 8109815.5864, prior = 0.1120
Gaussian 2: mean = 4277.0813, variance = 7531325.5625, prior = 0.1115
Gaussian 3: mean = 5380.9241, variance = 8032008.0739, prior = 0.1111
Gaussian 4: mean = 4608.9530, variance = 7928437.6910, prior = 0.1109
Gaussian 5: mean = 5301.3353, variance = 8075935.8172, prior = 0.1113
Gaussian 6: mean = 4864.9091, variance = 8093494.3477, prior = 0.1108
Gaussian 7: mean = 4976.5784, variance = 8125177.1305, prior = 0.1110
